area,province,city,20230921_high,20230921_low,20230921_wea,20230922_high,20230922_low,20230922_wea,20230923_high,20230923_low,20230923_wea,20230924_high,20230924_low,20230924_wea,20230925_high,20230925_low,20230925_wea,20230926_high,20230926_low,20230926_wea,20230927_high,20230927_low,20230927_wea,20230928_high,20230928_low,20230928_wea,20230929_high,20230929_low,20230929_wea,20230930_high,20230930_low,20230930_wea,20231001_high,20231001_low,20231001_wea,20231002_high,20231002_low,20231002_wea,20231003_high,20231003_low,20231003_wea,20231004_high,20231004_low,20231004_wea,20231005_high,20231005_low,20231005_wea,20231006_high,20231006_low,20231006_wea,20231007_high,20231007_low,20231007_wea,20231008_high,20231008_low,20231008_wea,20231009_high,20231009_low,20231009_wea,20231010_high,20231010_low,20231010_wea,20231011_high,20231011_low,20231011_wea,20231012_high,20231012_low,20231012_wea,20231013_high,20231013_low,20231013_wea,20231014_high,20231014_low,20231014_wea,20231015_high,20231015_low,20231015_wea,20231016_high,20231016_low,20231016_wea,20231017_high,20231017_low,20231017_wea,20231018_high,20231018_low,20231018_wea,20231019_high,20231019_low,20231019_wea,20231020_high,20231020_low,20231020_wea,20231021_high,20231021_low,20231021_wea,20231022_high,20231022_low,20231022_wea,20231023_high,20231023_low,20231023_wea,20231024_high,20231024_low,20231024_wea,20231025_high,20231025_low,20231025_wea,20231026_high,20231026_low,20231026_wea,20231027_high,20231027_low,20231027_wea,20231028_high,20231028_low,20231028_wea,20231029_high,20231029_low,20231029_wea,20231030_high,20231030_low,20231030_wea,20231031_high,20231031_low,20231031_wea,20231101_high,20231101_low,20231101_wea,20231102_high,20231102_low,20231102_wea,20231103_high,20231103_low,20231103_wea,20231104_high,20231104_low,20231104_wea
华北,北京市,昌平,27,12,晴,28,14,多云,24,15,多云,20,15,小雨,22,15,多云,22,15,多云,25,12,多云,25,13,晴,26,13,晴,25,11,晴,25,10,晴,24,12,多云,24,14,多云,25,7,晴,22,11,多云,22,11,多云,22,11,多云,22,12,多云,24,10,晴,22,10,多云,22,11,多云,17,9,小雨,22,8,小雨,24,10,晴,23,5,晴,19,6,晴,21,12,多云,23,10,晴,20,5,晴,18,6,晴,22,6,晴,22,7,晴,22,8,晴,24,9,晴,27,9,晴,24,7,晴,23,7,晴,18,8,晴,19,9,晴,17,10,晴,17,9,晴,18,9,阵雨,16,9,阵雨,13,6,晴,11,4,晴
华北,北京市,怀柔,26,15,晴,27,15,多云,24,14,多云,20,13,小雨,20,14,多云,22,15,多云,27,10,多云,26,12,晴,27,11,晴,25,9,晴,25,11,晴,25,13,多云,24,12,多云,25,7,晴,21,10,多云,21,10,多云,22,10,多云,21,10,小雨,24,9,晴,21,9,多云,23,10,多云,17,9,小雨,22,8,小雨,23,8,阵雨,23,6,晴,20,8,晴,21,12,多云,23,8,晴,20,4,晴,18,4,晴,21,5,晴,22,5,晴,22,7,晴,24,8,晴,27,8,晴,23,6,晴,23,8,晴,19,10,晴,20,11,晴,18,11,晴,17,10,晴,18,11,雨,16,9,阵雨,13,6,晴,12,5,晴
华北,北京市,平谷,27,13,晴,27,13,多云,25,13,多云,20,13,阴,21,12,多云,23,16,多云,26,9,多云,26,11,晴,26,11,晴,24,8,晴,25,11,晴,24,13,多云,24,10,多云,24,6,晴,21,8,多云,21,10,多云,22,10,多云,21,8,小雨,23,8,晴,22,8,多云,23,9,多云,17,9,小雨,22,7,小雨,23,7,晴,23,6,晴,20,8,晴,22,11,多云,22,7,晴,20,2,晴,18,1,晴,21,2,晴,23,4,晴,22,5,晴,24,5,晴,27,6,晴,22,2,晴,22,4,晴,22,5,多云,22,7,多云,21,8,多云,21,8,多云,21,8,多云,19,9,阴,16,6,多云,15,3,多云
华北,北京市,密云,26,14,晴,27,14,多云,24,14,多云,20,13,阴,21,13,多云,24,15,多云,27,9,多云,26,11,晴,26,9,晴,24,9,晴,25,11,晴,23,13,多云,24,10,多云,24,5,晴,21,9,多云,21,9,多云,22,10,多云,21,9,小雨,24,8,晴,22,8,多云,22,10,多云,17,10,小雨,22,6,小雨,22,7,晴,22,6,晴,19,8,晴,21,13,多云,22,7,阵雨,19,2,晴,18,2,晴,21,3,晴,23,5,晴,22,6,晴,24,7,晴,25,7,晴,23,5,晴,23,6,晴,19,8,晴,20,9,晴,18,10,晴,17,8,晴,18,9,雨,16,9,阵雨,13,5,晴,12,4,晴
华北,北京市,延庆,25,12,晴,25,13,多云,21,12,多云,18,12,小雨,19,13,多云,21,11,多云,24,8,多云,24,11,晴,24,8,晴,22,6,晴,23,9,晴,23,10,多云,25,9,多云,22,5,晴,19,8,多云,19,8,多云,19,8,多云,18,9,多云,21,6,晴,19,7,多云,21,8,多云,16,8,小雨,19,4,小雨,21,6,晴,20,3,晴,18,6,晴,21,8,多云,20,6,晴,17,2,晴,15,2,晴,19,2,晴,21,3,晴,21,4,晴,23,2,晴,24,4,晴,20,3,晴,21,3,晴,19,7,晴,18,7,晴,16,8,晴,16,6,晴,17,7,雨,14,7,阵雨,11,3,晴,10,2,雨
华北,天津市,天津市,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,和平,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,河东,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,河西,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,南开,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,河北,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,红桥,29,19,多云,27,20,晴,26,18,多云,22,16,小雨,25,17,多云,24,18,多云,26,16,多云,26,17,晴,27,16,多云,25,14,晴,26,16,晴,27,17,多云,27,17,多云,25,13,晴,22,15,晴,23,15,多云,22,15,阴,21,14,小雨,22,12,晴,23,12,多云,24,14,多云,23,16,阴,21,12,阴,23,12,晴,22,11,晴,22,13,晴,23,15,多云,23,13,多云,21,10,晴,17,9,晴,21,11,晴,23,12,晴,24,13,多云,25,13,晴,25,11,多云,20,10,多云,22,10,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,12,阴,18,9,多云,15,6,多云
华北,天津市,东丽,28,18,多云,27,20,晴,24,17,多云,23,15,小雨,25,16,多云,24,17,多云,26,15,多云,26,17,晴,27,16,多云,24,14,晴,26,13,晴,27,16,多云,27,16,多云,25,11,晴,22,14,晴,23,14,多云,22,14,阵雨,21,14,阵雨,22,11,晴,23,11,多云,24,14,多云,23,16,阴,22,12,阴,23,11,晴,22,10,晴,22,10,晴,24,15,多云,23,12,多云,21,10,晴,17,8,晴,21,9,晴,23,11,晴,23,12,多云,24,12,晴,25,9,多云,20,9,多云,22,9,晴,23,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,11,阴,18,9,多云,15,6,多云
华北,天津市,西青,28,17,多云,27,19,晴,25,16,多云,23,14,小雨,25,15,多云,24,16,多云,26,14,多云,26,17,晴,27,15,多云,24,13,晴,26,11,晴,27,15,多云,27,13,多云,25,10,晴,23,13,晴,23,11,多云,22,13,阴,21,12,阴,22,9,晴,23,9,多云,24,12,多云,23,15,阴,22,10,阴,23,9,晴,22,6,晴,22,9,晴,24,14,多云,23,11,多云,21,7,晴,17,5,晴,21,5,晴,23,8,晴,24,11,多云,25,11,晴,25,9,多云,20,8,多云,22,9,晴,24,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,11,阴,18,9,多云,15,6,多云
华北,天津市,津南,28,17,多云,27,19,晴,24,16,多云,22,14,小雨,24,15,多云,24,15,多云,26,14,多云,26,17,晴,27,14,多云,24,13,晴,26,12,晴,27,15,多云,26,14,多云,25,11,晴,22,14,晴,23,13,多云,21,13,阴,20,12,阴,22,10,晴,23,9,多云,24,11,多云,23,16,阴,21,11,小雨,23,10,晴,21,8,晴,22,9,晴,24,15,多云,23,11,多云,21,10,晴,17,8,晴,21,7,晴,23,10,晴,23,10,多云,24,12,晴,25,10,多云,19,8,多云,22,9,晴,23,9,多云,23,10,多云,22,11,多云,22,11,多云,22,11,多云,21,11,阴,18,9,多云,15,6,多云
华北,天津市,北辰,28,16,多云,27,17,晴,25,15,多云,23,14,小雨,24,14,多云,24,14,多云,26,13,多云,26,17,晴,27,14,多云,24,14,晴,26,9,晴,27,12,多云,26,13,多云,25,10,晴,22,12,晴,23,10,多云,22,12,阴,21,11,小雨,22,7,晴,23,8,多云,23,11,多云,23,14,阴,21,9,阴,23,9,晴,22,6,晴,22,7,晴,24,14,多云,23,9,多云,21,6,晴,17,3,晴,21,5,晴,23,8,晴,23,10,多云,24,10,晴,25,9,多云,20,8,多云,22,8,晴,24,9,多云,22,10,多云,22,11,多云,22,11,多云,22,11,多云,21,10,阴,18,9,多云,15,6,多云
华北,天津市,武清,28,16,多云,27,17,晴,24,15,多云,22,14,阴,24,15,多云,24,14,多云,26,14,多云,26,16,晴,27,14,多云,24,13,晴,26,11,晴,26,14,多云,26,13,多云,24,11,晴,22,12,晴,23,11,多云,22,13,阴,21,12,小雨,22,9,晴,23,9,多云,23,12,多云,22,14,阴,20,10,阴,22,10,晴,22,7,晴,21,9,晴,23,14,多云,23,10,多云,20,7,晴,17,5,晴,21,6,晴,23,8,晴,23,10,多云,24,10,晴,25,9,多云,20,8,多云,21,8,晴,22,10,晴,22,11,晴,22,11,晴,20,11,晴,21,11,阵雨,17,10,阵雨,15,8,晴,14,6,阵雨
华北,天津市,宝坻,28,15,多云,27,16,晴,24,13,多云,22,13,阴,24,14,多云,23,13,多云,26,13,多云,26,15,晴,26,12,多云,24,11,晴,25,9,晴,26,12,多云,26,11,多云,24,9,晴,22,11,晴,22,10,多云,21,11,阴,20,11,小雨,22,8,晴,23,8,多云,23,10,多云,21,11,小雨,20,8,阴,22,8,晴,21,5,晴,21,7,晴,22,13,多云,23,9,多云,19,6,晴,17,4,晴,21,5,晴,23,7,晴,22,9,多云,24,9,晴,25,10,多云,20,7,多云,21,6,晴,21,8,晴,22,9,晴,21,10,晴,20,10,晴,21,10,阵雨,17,10,阵雨,15,7,晴,14,5,晴
华北,天津市,滨海新区,28,17,多云,27,17,晴,24,17,多云,23,16,小雨,23,16,多云,24,16,多云,26,15,多云,25,16,晴,26,16,多云,24,13,晴,25,14,晴,26,16,多云,26,15,多云,25,12,晴,22,13,晴,23,13,多云,21,14,阴,20,13,阴,22,11,晴,22,11,多云,23,12,多云,22,15,阴,22,12,小雨,22,11,晴,21,10,晴,21,12,晴,22,15,多云,22,12,多云,20,10,晴,17,8,晴,20,9,晴,23,11,晴,23,13,多云,23,13,晴,23,11,多云,18,10,多云,20,11,晴,21,14,晴,21,14,晴,20,14,晴,20,13,晴,21,13,阵雨,16,12,阵雨,14,10,晴,14,9,晴
华北,天津市,宁河,28,17,多云,27,17,晴,24,14,多云,22,15,小雨,23,15,多云,24,14,多云,26,14,多云,25,16,晴,26,14,多云,24,12,晴,25,11,晴,26,14,多云,26,13,多云,25,11,晴,22,12,晴,22,11,多云,21,13,阴,20,12,小雨,22,9,晴,22,9,多云,23,11,多云,22,14,阴,21,8,小雨,22,9,晴,21,8,晴,21,9,晴,23,14,多云,23,10,多云,19,7,晴,17,6,晴,20,7,晴,22,9,晴,23,12,多云,24,10,晴,25,10,多云,20,8,多云,20,10,晴,21,10,晴,22,11,晴,21,11,晴,20,11,阵雨,21,11,阵雨,16,10,阵雨,14,8,晴,14,6,晴
华北,天津市,静海,28,17,多云,27,17,晴,26,16,多云,23,14,小雨,25,15,多云,24,16,多云,26,15,多云,26,17,晴,27,15,多云,24,13,晴,26,13,晴,27,15,多云,27,15,多云,25,11,晴,23,12,晴,23,6,多云,22,13,阴,21,13,小雨,22,10,晴,23,12,多云,24,13,多云,23,15,阴,21,11,小雨,23,9,晴,22,9,晴,22,11,晴,24,13,多云,23,12,多云,20,8,晴,17,7,晴,23,8,晴,23,8,晴,24,10,多云,25,12,晴,25,9,多云,20,8,多云,22,9,晴,22,11,晴,23,12,晴,22,13,晴,20,12,阵雨,22,13,阵雨,17,11,阵雨,16,9,晴,14,7,阵雨
华北,天津市,蓟州,27,14,多云,26,14,晴,24,13,多云,22,13,阴,23,14,多云,23,13,多云,26,13,多云,26,15,晴,26,11,多云,24,11,晴,25,10,晴,26,11,多云,26,11,多云,25,8,晴,22,9,晴,22,10,多云,21,10,阴,20,10,小雨,22,6,晴,23,8,多云,23,9,多云,21,10,小雨,20,7,阴,22,7,晴,21,5,晴,21,7,晴,22,12,多云,23,9,多云,21,5,晴,17,4,晴,21,5,晴,23,6,晴,22,8,多云,23,8,晴,24,9,多云,19,7,多云,20,6,晴,20,9,晴,21,10,晴,20,11,晴,19,10,晴,20,11,雨,16,10,雨,14,7,晴,13,6,晴
华北,河北省,石家庄市,29,17,晴,28,19,晴,25,17,多云,19,14,小雨,25,16,多云,24,17,多云,25,15,阴,25,17,多云,28,15,晴,26,13,晴,26,13,晴,24,14,多云,28,16,晴,26,14,多云,22,14,晴,21,12,阴,22,12,多云,24,12,晴,25,12,晴,24,11,晴,24,13,晴,23,14,多云,26,12,晴,26,14,晴,24,12,晴,22,11,晴,22,14,多云,23,13,多云,22,10,多云,21,7,晴,22,8,晴,24,10,晴,25,12,晴,26,12,晴,29,14,晴,22,10,晴,24,12,多云,24,10,多云,24,10,多云,23,12,多云,22,11,多云,21,12,阴,20,12,阴,19,10,多云,18,6,多云
华北,河北省,辛集市,30,17,晴,29,20,晴,26,18,多云,20,14,小雨,26,16,多云,25,17,多云,25,15,阴,25,17,多云,28,15,晴,26,13,晴,26,13,晴,24,15,多云,28,15,晴,26,13,多云,22,14,晴,21,12,阴,23,12,阴,24,12,晴,25,12,晴,24,11,晴,24,13,晴,23,12,多云,26,12,晴,26,13,晴,24,11,晴,22,11,晴,25,15,晴,23,13,多云,22,10,多云,21,7,晴,22,8,晴,25,10,晴,25,12,晴,27,12,晴,28,13,晴,24,10,晴,23,11,晴,23,8,多云,23,8,多云,22,10,多云,22,9,多云,21,10,多云,19,11,阴,17,8,多云,16,5,多云
华北,河北省,唐山市,28,16,晴,27,14,晴,25,12,多云,22,13,小雨,23,14,多云,25,14,多云,26,11,多云,26,14,晴,26,11,多云,24,10,晴,25,10,晴,25,13,多云,25,13,晴,25,7,晴,21,10,晴,24,11,多云,22,12,阴,21,9,小雨,23,9,晴,23,9,晴,23,10,晴,22,11,多云,22,7,阵雨,23,8,晴,22,5,晴,21,9,晴,22,12,晴,23,9,多云,20,4,晴,17,3,晴,20,5,晴,22,7,晴,23,9,多云,23,10,晴,23,10,晴,19,7,晴,21,8,晴,22,6,多云,22,7,多云,22,8,多云,22,8,多云,22,9,多云,20,9,阴,18,7,多云,15,3,多云
华北,河北省,秦皇岛市,27,16,晴,27,13,晴,24,12,多云,22,10,阵雨,23,13,多云,24,15,多云,26,12,多云,25,13,多云,25,11,多云,25,10,晴,24,11,晴,25,14,晴,25,13,晴,24,8,多云,22,9,晴,23,12,阴,20,12,阴,20,9,中雨,21,8,晴,21,9,多云,23,10,晴,23,10,多云,20,7,雷阵雨,23,8,晴,20,5,晴,19,8,晴,22,11,晴,20,9,多云,20,3,多云,17,4,晴,20,5,晴,21,8,晴,22,8,晴,23,9,晴,22,8,晴,18,7,晴,17,6,晴,22,6,多云,22,8,多云,21,9,多云,21,9,多云,21,9,多云,20,9,阴,16,5,多云,14,1,多云
华北,河北省,邯郸市,28,16,晴,28,19,晴,24,18,阴,20,14,小雨,23,16,小雨,25,17,阴,22,14,阵雨,25,17,阴,27,16,多云,25,12,晴,25,14,晴,24,14,多云,27,16,晴,24,12,多云,22,14,多云,20,14,阴,22,12,阴,24,13,晴,25,11,晴,25,11,晴,23,12,多云,23,11,阴,25,12,晴,26,12,晴,27,12,晴,24,10,晴,26,16,多云,25,15,多云,21,8,多云,19,9,晴,22,9,晴,24,11,晴,25,12,晴,26,12,晴,28,14,晴,24,11,晴,27,14,多云,25,10,多云,26,10,多云,24,11,多云,24,10,多云,23,12,阴,21,12,阴,20,10,多云,19,7,多云
