table_name,field_name,field_type,comment
fmys_as_reject_plan_tmp,goods_no,int,商品货号
fmys_as_reject_plan_tmp,co_id,smallint,颜色id
fmys_as_reject_plan_tmp,si_id,smallint,尺码id
fmys_as_reject_plan_tmp,num,smallint,商品数量
fmys_as_reject_plan_tmp,create_time,int,创建时间
fmys_as_shipping_detail,work_id,int,工单id
fmys_as_shipping_detail,order_id,int,订单id
fmys_as_shipping_detail,rec_id,int,订单详情id
fmys_as_shipping_detail,create_time,int,添加时间
fmys_as_shipping_detail,num,int,数量
fmys_as_wave_picking,as_wave_picking_id,int,波次id
fmys_as_wave_picking,as_wave_picking_summary_id,int,汇总单号(废弃)
fmys_as_wave_picking,user_id,int,用户id
fmys_as_wave_picking,print_data,mediumtext,面单printdata
fmys_as_wave_picking,province,smallint,收货人省份id
fmys_as_wave_picking,city,smallint,收货人城市id
fmys_as_wave_picking,district,smallint,收货人区id
fmys_as_wave_picking,wave_picking_num,smallint,波次单商品数量
fmys_as_wave_picking,weight,mediumint,重量
fmys_as_wave_picking,origin,tinyint,"发货地{1:广州,2:杭州}"
fmys_as_wave_picking,is_remark,tinyint,"是否备注{0:无备注,1:有备注未处理,2:有备注已处理}"
fmys_as_wave_picking,admin_id,int,校验人id
fmys_as_wave_picking,create_time,int,创建时间
fmys_as_wave_picking,update_time,int,更新时间
fmys_as_wave_picking,full_allot,tinyint,"配齐情况{1:配齐,2:未配齐,3:今日配齐}"
fmys_as_wave_picking,out_time,int,出库时间
fmys_as_wave_picking,check_time,int,校验完成时间
fmys_as_wave_picking,type,tinyint,"波次单类型:{1:常规,3:改标}"
fmys_as_wave_picking,picking_type,tinyint,"拣货方式:{1:单波次拣货,2:多波次拣货,3:质检汇总,4:改标汇总,5:单件分离,6:越库分离}"
fmys_as_wave_picking,is_put_picking_list,tinyint,"是否放置发货单:{1:是,2:否}"
fmys_as_wave_picking,is_generate_picking_task,tinyint,"是否生成拣货任务:{1:是,2:否}"
fmys_as_wave_picking,is_stop_shipping,tinyint,"是否拦截:{1:是,2:否}"
fmys_as_wave_picking,space_rule,bigint,仓位二进制数据(废弃)
fmys_as_wave_picking,picking_level,tinyint,拣货任务级别
fmys_as_wave_picking_dbid,as_wave_picking_dbid_id,int,波次打标id
fmys_as_wave_picking_dbid,as_wave_picking_info_id,int,波次详情id
fmys_as_wave_picking_dbid,dbid,int,打标id
fmys_as_wave_picking_dbid,as_wave_picking_id,int,波次id
fmys_as_wave_picking_dbid,order_id,int,订单id
fmys_as_wave_picking_dbid,work_id,int,工单id
fmys_as_wave_picking_dbid,rec_id,int,订单详情id
fmys_as_wave_picking_dbid,create_time,int,创建时间
fmys_as_wave_picking_dbid,update_time,int,更新时间
fmys_as_wave_picking_dbid,ss_id,mediumint,仓位id
fmys_as_wave_picking_ext,as_wave_picking_id,int,波次id
fmys_as_wave_picking_ext,is_check_one_out,tinyint,"是否一键打包{2:否,1:是}"
fmys_as_wave_picking_ext,shipping_sender_id,int,网点id
fmys_as_wave_picking_ext,logistics_id,int,物流公司id
fmys_as_wave_picking_ext,pre_weight,mediumint,预计计算重量
fmys_as_wave_picking_ext,remark_type,tinyint,仓库备注类型: {0:默认 1:快递分配失败}
fmys_as_wave_picking_info,as_wave_picking_info_id,int,波次单详情id
fmys_as_wave_picking_info,as_wave_picking_id,int,波次id
fmys_as_wave_picking_info,work_id,int,工单id
fmys_as_wave_picking_info,order_id,int,订单id
fmys_as_wave_picking_info,rec_id,int,订单详情id
fmys_as_wave_picking_info,goods_no,int,商品货号
fmys_as_wave_picking_info,co_id,int,颜色id
fmys_as_wave_picking_info,si_id,int,尺码id
fmys_as_wave_picking_info,wave_picking_info_num,smallint,波次详情数量
fmys_as_wave_picking_info,init_num,smallint,原始数量，一开始生成的数量值，永远不变
fmys_as_wave_picking_info,create_time,int,创建时间
fmys_as_wave_picking_info,update_time,int,更新时间
fmys_as_wave_picking_info,sm_num,smallint,扫描数量
fmys_asyn_event,id,int,id
fmys_asyn_event,event_content,text,事件内容
fmys_asyn_event,event_result,tinyint,"事件结果{1:待执行,2:执行成功,3:执行失败}"
fmys_asyn_event,retry,int,执行次数
fmys_asyn_event,created_at,timestamp,开始时间
fmys_asyn_event,updated_at,timestamp,更新时间
fmys_asynchronous_task_config,id,int,ID
fmys_asynchronous_task_config,shell_type,tinyint,执行方式:{1:脚本}
fmys_asynchronous_task_config,remark,text,备注
fmys_asynchronous_task_config,created_at,timestamp,创建时间
fmys_asynchronous_task_config,updated_at,timestamp,更新时间
fmys_asynchronous_task_log,id,int,ID
fmys_asynchronous_task_log,parameter,text,传参，格式json
fmys_asynchronous_task_log,task_status,tinyint,"执行状态:{0:未开始,1:执行中,2:执行成功,3:执行失败,4:执行超时,5:执行完毕返回异常}"
fmys_asynchronous_task_log,res_remark,longtext,执行结果记录
fmys_asynchronous_task_log,task_start,int,开始执行时间
fmys_asynchronous_task_log,create_time,int,创建时间
fmys_asynchronous_task_log,update_time,int,更新时间
fmys_auth_rule,id,mediumint,主键
fmys_auth_rule,pid,smallint,父规则id
fmys_auth_rule,sort,tinyint,排序
fmys_auth_rule,is_show,tinyint,是否展示到后台左边导航栏
fmys_auto_add_stop_data,aasd_id,int,自增ID
fmys_auto_add_stop_data,goods_no,int,商品货号
fmys_auto_add_stop_data,co_id,smallint,颜色id
fmys_auto_add_stop_data,si_id,smallint,尺码id
fmys_auto_add_stop_data,order_need_num,mediumint,订单需要数量
fmys_auto_add_stop_data,as_need_num,mediumint,售后工单需要数量
fmys_auto_add_stop_data,qzc_num,mediumint,前置仓计划调配数量
fmys_auto_add_stop_data,stock_num,mediumint,库存商品数量
fmys_auto_add_stop_data,unsir_num,mediumint,提交但未入库数量
fmys_auto_add_stop_data,owe_num,mediumint,欠货数量
fmys_auto_add_stop_data,wcg_num,mediumint,采购开单未生成欠货数量
fmys_auto_add_stop_data,plan_need_num,mediumint,采购计划目前还未开单数量
fmys_auto_add_stop_data,should_add_num,mediumint,理论应补充采购数量
fmys_auto_add_stop_data,real_add_num,mediumint,实际补充采购数量(根据选择了重新采购的来判断)
fmys_auto_add_stop_data,stop_num,mediumint,自动给订单断货数量
fmys_auto_add_stop_data,stop_plan_num,mediumint,采购计划断货数量
fmys_auto_add_stop_data,create_time,int,创建时间
fmys_auto_add_stop_data,update_time,int,更新时间
fmys_auto_add_stop_data,qzc_drk_num,mediumint,前置仓待入库数据
fmys_auto_add_stop_data,cross_zt_num,int,跨仓调拨在途数量
fmys_auto_stop_order_detail,asod_id,int,自增ID
fmys_auto_stop_order_detail,aasd_id,int,自动补货断货数据统计id
fmys_auto_stop_order_detail,rec_id,int,用户订单详情id
fmys_auto_stop_order_detail,stop_num,mediumint,断货数量
fmys_auto_stop_order_detail,create_time,int,创建时间
fmys_auto_stop_order_detail,update_time,int,更新时间
fmys_auto_stop_rec_sort,asrs_id,int,自增ID
fmys_auto_stop_rec_sort,aasd_id,int,自动补货断货数据统计id
fmys_auto_stop_rec_sort,rec_id,int,用户订单详情id
fmys_auto_stop_rec_sort,stop_num,mediumint,断货数量
fmys_auto_stop_rec_sort,is_valid,tinyint,"是否标记为生效的待断货明细{0未生效,1生效}"
fmys_auto_stop_rec_sort,big_allot_level,smallint,"大环境优先级别,记录而已,没用到"
fmys_auto_stop_rec_sort,small_allot_level,smallint,"小环境优先级别,记录而已,没用到"
fmys_auto_stop_rec_sort,rule_rule,tinyint,"规则可选排序,记录而已,没用到{1:历史累计成交额,2:历史月均成交额,3:本次订单成交额,4:下单时间}"
fmys_auto_stop_rec_sort,order_time,int,订单时间
fmys_auto_stop_rec_sort,create_time,int,创建时间
fmys_backend_sms_log,create_time,int,创建时间
fmys_backend_sms_log,expire_time,int,过期时间
fmys_backend_sms_log,is_use,int,是否已用 {0-未使用 1-已使用}
fmys_backend_sms_log,use_time,int,使用时间
fmys_backend_sms_log,type,int,"短信类型:{1:登录验证短信,2:批量付款,3:提现充值,10:小程序登录}"
fmys_baob_invoice,invoice_id,bigint,配货单id(爆版端ID)
fmys_baob_invoice,invoice_time,int,配货时间(爆版端)
fmys_baob_invoice,supply_id,int,商家ID
fmys_baob_invoice,shop_id,int,爆版商家ID
fmys_baob_invoice,woid,int,对应代采单ID
fmys_baob_invoice,created_at,timestamp,创建时间
fmys_baob_invoice,updated_at,timestamp,更新时间
fmys_baob_invoice,invoice_pici_id,int,配货批次ID
fmys_baob_invoice_detail,baob_invoice_id,int,爆版配货单信息表ID
fmys_baob_invoice_detail,baob_invoice_info_id,int,爆版配货单信息详情表ID
fmys_baob_invoice_detail,woid,int,代采单ID
fmys_baob_invoice_detail,woiid,int,代采单详情ID
fmys_baob_invoice_detail,goods_no,int,货号
fmys_baob_invoice_detail,sku,int,SKU
fmys_baob_invoice_detail,co_id,int,颜色ID
fmys_baob_invoice_detail,si_id,int,尺码ID
fmys_baob_invoice_detail,owe_id,int,欠货ID
fmys_baob_invoice_detail,status_time,int,在途库存或转欠货的时间
fmys_baob_invoice_detail,status,int,"状态:{1:正常在途库存,2:审核中,3:转欠货,4:删除}"
fmys_baob_invoice_detail,created_at,timestamp,创建时间
fmys_baob_invoice_detail,updated_at,timestamp,更新时间
fmys_baob_invoice_info,baob_invoice_id,int,爆版配货单信息表ID
fmys_baob_invoice_info,invoice_sku_id,int,配货单详情ID（爆版端）
fmys_baob_invoice_info,woid,int,代采单ID
fmys_baob_invoice_info,woiid,int,代采单详情ID
fmys_baob_invoice_info,goods_no,int,货号
fmys_baob_invoice_info,sku,int,SKU
fmys_baob_invoice_info,co_id,int,颜色ID
fmys_baob_invoice_info,si_id,int,尺码ID
fmys_baob_invoice_info,invoice_num,int,配货数量
fmys_baob_invoice_info,created_at,timestamp,创建时间
fmys_baob_invoice_info,updated_at,timestamp,更新时间
fmys_baob_invoice_pici,id,int,配货批次id
fmys_baob_invoice_pici,supply_id,int,商家ID
fmys_baob_invoice_pici,is_offsite,tinyint,是否异地配货:{1:是;2:否}
fmys_baob_invoice_pici,created_at,timestamp,创建时间
fmys_baob_invoice_pici,updated_at,timestamp,更新时间
fmys_baob_invoice_pici_shipping_num,id,int,自增ID
fmys_baob_invoice_pici_shipping_num,invoice_pici_id,int,配货批次
fmys_baob_invoice_pici_shipping_num,deleted_time,int,删除时间
fmys_baob_invoice_pici_shipping_num,created_at,timestamp,创建时间
fmys_baob_invoice_pici_shipping_num,updated_at,timestamp,更新时间
fmys_baob_lock_stock_data,id,int,自增
fmys_baob_lock_stock_data,sku,int,skuId
fmys_baob_lock_stock_data,create_time,int,创建时间
fmys_baob_lock_stock_data,goods_no,int,货号
fmys_baob_lock_stock_data,supply_id,int,供应商id
fmys_baob_lock_stock_data_order,id,int,自增
fmys_baob_lock_stock_data_order,sku,int,skuId
fmys_baob_lock_stock_data_order,create_time,int,创建时间
fmys_baob_lock_stock_data_order,buy_num,int,销量
fmys_baob_lock_stock_data_order,stock_num,int,库存数量
fmys_baob_lock_stock_data_order,zt_num,int,在途数量
fmys_baob_lock_stock_data_order,spot_num,int,库存匹配数
fmys_baob_lock_stock_data_order,order_num,int,当次统计时效订单量
fmys_baob_lock_stock_data_order,last_sync_order_num,int,上次时效订单同步量
fmys_baob_lock_stock_data_order,current_sync_order_num,int,本次时效订单同步量
fmys_baob_lock_stock_data_order,delete_tag,tinyint,无效记录（供应商禁用库存同步时设置为1）
fmys_baob_lock_stock_data_plan,id,int,自增
fmys_baob_lock_stock_data_plan,sku,int,skuId
fmys_baob_lock_stock_data_plan,create_time,int,创建时间
fmys_baob_lock_stock_data_plan,last_sync_plan_num,int,上次计划同步量
fmys_baob_lock_stock_data_plan,current_sync_plan_num,int,本次计划同步量
fmys_baob_lock_stock_data_plan,plan_add_num,int,距离上次同步到目前的计划增加量
fmys_baob_lock_stock_data_plan,plan_cancel_num,int,距离上次同步到目前的计划取消量
fmys_baob_lock_stock_data_plan,plan_cancel_recover_num,int,距离上次同步到目前的计划取消恢复量
fmys_baob_turn_owe_apply,supply_id,int,商家ID
fmys_baob_turn_owe_apply,apply_time,int,申请时间
fmys_baob_turn_owe_apply,proof_time,int,核对时间
fmys_baob_turn_owe_apply,recall_time,int,撤回时间
fmys_baob_turn_owe_apply,deal_time,int,处理时间(核对时间/撤回时间)
fmys_baob_turn_owe_apply,apply_num,int,申请数量
fmys_baob_turn_owe_apply,pgid,int,采购组
fmys_baob_turn_owe_apply,admin_id,int,申请人
fmys_baob_turn_owe_apply,status,int,"状态:{1:审核中,2:撤回申请,3:审核通过,4:已删除}"
fmys_baob_turn_owe_apply,created_at,timestamp,创建时间
fmys_baob_turn_owe_apply,updated_at,timestamp,更新时间
fmys_baob_turn_owe_apply,record_picture,text,沟通记录图片，逗号隔开
fmys_baob_turn_owe_apply_detail,baob_apply_id,int,配货在途转欠货申请表ID
fmys_baob_turn_owe_apply_detail,baob_invoice_id,int,爆版配货单信息表ID
fmys_baob_turn_owe_apply_detail,baob_invoice_info_id,int,爆版配货单信息详情表ID
fmys_baob_turn_owe_apply_detail,invoice_id,bigint,配货单id(爆版端ID)
fmys_baob_turn_owe_apply_detail,invoice_time,int,配货时间(爆版端)
fmys_baob_turn_owe_apply_detail,woid,int,代采单ID
fmys_baob_turn_owe_apply_detail,woiid,int,代采单详情ID
fmys_baob_turn_owe_apply_detail,goods_no,int,货号
fmys_baob_turn_owe_apply_detail,sku,int,SKU
fmys_baob_turn_owe_apply_detail,co_id,int,颜色ID
fmys_baob_turn_owe_apply_detail,si_id,int,尺码ID
fmys_baob_turn_owe_apply_detail,owe_id,int,欠货ID
fmys_baob_turn_owe_apply_detail,created_at,timestamp,创建时间
fmys_baob_turn_owe_apply_detail,updated_at,timestamp,更新时间
fmys_baob_turn_owe_apply_log,id,int,日志自增id
fmys_baob_turn_owe_apply_log,baob_apply_id,int,配货在途转欠货申请表ID
fmys_baob_turn_owe_apply_log,admin_id,int,操作人
fmys_baob_turn_owe_apply_log,user_id,int,爆版操作人
fmys_baob_turn_owe_apply_log,operate_type,int,"操作方式:{1:创建申请单,2:撤回申请单,3:确认申请}"
fmys_baob_turn_owe_apply_log,operate_source,tinyint,操作来源:{1:系统;2:爆版}
fmys_baob_turn_owe_apply_log,created_at,timestamp,创建时间
fmys_baob_turn_owe_apply_log,updated_at,timestamp,更新时间
fmys_baob_usage_report,id,int,主键
fmys_baob_usage_report,report_date,int,报表日期（时间戳，当天0点的时间戳）
fmys_baob_usage_report,binding_num,smallint,绑定爆版数
fmys_baob_usage_report,unbinding_num,smallint,解绑爆版数
fmys_baob_usage_report,open_order_ability_num,smallint,开通爆版开单
fmys_baob_usage_report,cancel_order_ability_num,smallint,取消爆版开单
fmys_baob_usage_report,kd_num,int,开单件数(爆版来源)
fmys_baob_usage_report,kd_spu_num,int,开单款数(爆版来源)
fmys_baob_usage_report,open_allot_num,smallint,开通爆版配货数
fmys_baob_usage_report,cancel_allot_num,smallint,取消爆版配货数
fmys_baob_usage_report,allot_num,smallint,配货件数
fmys_baob_usage_report,allot_spu_num,smallint,配货款数
fmys_baob_usage_report,open_self_num,smallint,开通爆版上款数
fmys_baob_usage_report,cancel_self_num,smallint,取消爆版上款数
fmys_baob_usage_report,open_all_style_num,smallint,开通全类目上款数
fmys_baob_usage_report,cancel_all_style_num,smallint,取消全类目上款数
